id;plane_id;article;batch_size;release_date;pf_time;workload_ wc
3146;1;232277;28;08.07.2021;0;952
3147;1;307076;14;08.07.2021;1.2;477.2
3148;1;811163;6;08.07.2021;4.4;208.4
3149;1;173253;6;08.07.2021;3.2;207.2
3153;1;124234;42;08.07.2021;2.7;1430.7
3158;1;811087;12;08.07.2021;9.7;417.7
3159;1;815462;6;08.07.2021;2.5;206.5
3164;1;1650;72;08.07.2021;3.7;2451.7
3165;1;302393;3;08.07.2021;0.21;102.21
3166;1;4107;3;08.07.2021;2.9;104.9
3170;1;40278;36;08.07.2021;0.05;1224.05
3173;1;167552;3;08.07.2021;21;123
3177;1;815477;3;08.07.2021;8.1;110.1
3178;1;306153;25;08.07.2021;0.059;850.059
3185;1;124197;14;08.07.2021;21;497
3193;1;161105;3;08.07.2021;6;108
3196;1;811166;3;08.07.2021;11;113
3200;1;811151;3;08.07.2021;6;108
3203;1;173234;3;08.07.2021;9.7;111.7
3208;1;4058;200;08.07.2021;0.92;6800.92
3212;1;213346;21;08.07.2021;0.5;714.5
3218;1;124291;7;08.07.2021;11;249
3222;1;124306;14;08.07.2021;1.6;477.6
3229;1;160876;7;08.07.2021;11;249
3236;1;300077;12;08.07.2021;0.06;408.06
3239;1;306396;28;08.07.2021;0.058;952.058
3240;1;141885;7;08.07.2021;3.9;241.9
3244;1;173245;3;08.07.2021;20;122
3245;1;306678;48;08.07.2021;0.37;1632.37
3248;1;167537;14;08.07.2021;2.3;478.3
3256;1;84521;6;08.07.2021;1.6;205.6
3259;1;124509;14;08.07.2021;4.8;480.8
3260;1;124257;14;08.07.2021;4.3;480.3
3261;1;295213;7;08.07.2021;8.1;246.1
3263;1;173230;3;08.07.2021;19;121
3266;1;254411;14;08.07.2021;0.24;476.24
3268;1;811155;3;08.07.2021;6;108
3275;1;191417;14;08.07.2021;17;493
3277;1;124417;7;08.07.2021;4.1;242.1
3281;1;300068;98;08.07.2021;0.05;3332.05
3283;1;15507;45;08.07.2021;4.3;1534.3
3284;1;124248;14;08.07.2021;2;478
3285;1;306514;28;08.07.2021;0.11;952.11
3286;1;303275;28;08.07.2021;0.15;952.15
3297;1;811141;3;08.07.2021;0.72;102.72
3299;1;302276;454;08.07.2021;1.2;15437.2
3303;1;124293;14;08.07.2021;1.1;477.1
3305;1;153728;14;08.07.2021;2.5;478.5
3308;1;245962;7;08.07.2021;11;249
3309;1;295383;14;08.07.2021;1.7;477.7
3319;1;153694;7;08.07.2021;4.4;242.4
3323;1;84533;3;08.07.2021;1.5;103.5
3330;1;297507;3;08.07.2021;2.5;104.5
3343;1;177610;6;08.07.2021;2.7;206.7
3350;1;124436;7;08.07.2021;6;244
3351;1;282470;7;08.07.2021;0.86;238.86
3354;1;3726;63;08.07.2021;0.17;2142.17
3361;1;234392;7;08.07.2021;3;241
3363;1;15503;14;08.07.2021;7.1;483.1
3366;1;295282;28;08.07.2021;1;953
3370;1;245951;14;08.07.2021;8.9;484.9
3374;1;167499;28;08.07.2021;1.6;953.6
3376;1;124500;6;08.07.2021;4.5;208.5
3393;1;234332;1915;08.07.2021;0.79;65110.79
3396;1;84529;3;08.07.2021;2.9;104.9
3399;1;158576;6;08.07.2021;0.84;204.84
3400;1;811100;3;08.07.2021;27;129
3406;1;15391;18;08.07.2021;2.8;614.8
3414;1;124425;14;08.07.2021;5.7;481.7
3418;1;17756;3;08.07.2021;2.8;104.8
3419;1;173263;7;08.07.2021;1.2;239.2
3420;1;277966;7;08.07.2021;6.7;244.7
3421;1;4200;13;08.07.2021;2.3;444.3
3426;1;815461;3;08.07.2021;2.5;104.5
3429;1;173248;3;08.07.2021;5.9;107.9
3435;1;124440;7;08.07.2021;5.6;243.6
3437;1;234396;7;08.07.2021;3.3;241.3
3438;1;191410;14;08.07.2021;15;491
3440;1;300798;304;08.07.2021;0.02;10336.02
3441;1;308179;84;08.07.2021;1;2857
3447;1;173233;3;08.07.2021;4.5;106.5
3448;1;40264;3;08.07.2021;1.6;103.6
3449;1;84526;6;08.07.2021;0.66;204.66
3451;1;307999;1252;08.07.2021;0.032;42568.032
3458;1;13285;28;08.07.2021;1.3;953.3
3459;1;167472;7;08.07.2021;11;249
3465;1;811088;12;08.07.2021;9;417
3468;1;124395;7;08.07.2021;7.7;245.7
3470;1;811167;3;08.07.2021;6.1;108.1
3471;1;125132;25;08.07.2021;0.4;850.4
3472;1;302407;144;08.07.2021;1.6;4897.6
3478;1;307540;7;08.07.2021;0.7;238.7
3483;1;301644;25;08.07.2021;0.0017;850.0017
3485;1;191421;28;08.07.2021;2.1;954.1
3486;1;307724;94;08.07.2021;0.011;3196.011
3487;1;254412;28;08.07.2021;0.3;952.3
3489;1;124429;7;08.07.2021;12;250
3494;1;167540;14;08.07.2021;10;486
3495;1;173244;3;08.07.2021;9.8;111.8
3501;1;40283;9;08.07.2021;0.07;306.07
3502;1;84522;6;08.07.2021;1.6;205.6
3504;1;300042;112;08.07.2021;1.4;3809.4
3510;1;302065;120;08.07.2021;1.6;4081.6
3512;1;84552;3;08.07.2021;5.2;107.2
3516;1;3200;9;08.07.2021;0.24;306.24
3517;1;167521;14;08.07.2021;28;504
3519;1;176147;3;08.07.2021;0.17;102.17
3520;1;124305;14;08.07.2021;8.1;484.1
3527;1;811092;36;08.07.2021;1.5;1225.5
2477;1;185858;14;11.07.2021;26;502
2479;1;124480;7;11.07.2021;13;251
2495;1;84500;12;11.07.2021;1.4;409.4
2503;1;124262;3;11.07.2021;4.3;106.3
2511;1;124386;14;11.07.2021;9.6;485.6
2514;1;15709;7;11.07.2021;19;257
2520;1;811112;3;11.07.2021;26;128
2533;1;811191;6;11.07.2021;6.5;210.5
2536;1;124529;7;11.07.2021;2.1;240.1
2544;1;123954;6;11.07.2021;11;215
2547;1;300379;321;11.07.2021;0.19;10914.19
2550;1;815457;6;11.07.2021;11;215
2551;1;177187;7;11.07.2021;5.4;243.4
2554;1;295474;28;11.07.2021;2;954
2567;1;811131;6;11.07.2021;5.4;209.4
2568;1;297528;6;11.07.2021;5.4;209.4
2569;1;308002;607;11.07.2021;0.073;20638.073
2575;1;811146;3;11.07.2021;7.8;109.8
2591;1;306136;28;11.07.2021;0.34;952.34
2599;1;245967;14;11.07.2021;1.1;477.1
2600;1;176954;7;11.07.2021;0.8;238.8
2615;1;124533;7;11.07.2021;1.2;239.2
2623;1;300120;12;11.07.2021;1.4;409.4
2625;1;811134;3;11.07.2021;6.6;108.6
2626;1;282466;28;11.07.2021;0.98;952.98
2640;1;811055;12;11.07.2021;7.8;415.8
2647;1;815464;3;11.07.2021;0.083;102.083
2653;1;308287;42;11.07.2021;0.05;1428.05
2658;1;167550;6;11.07.2021;17;221
2660;1;141879;14;11.07.2021;13;489
2666;1;805208;18;11.07.2021;1.3;613.3
2671;1;124176;28;11.07.2021;1.5;953.5
2679;1;15694;14;11.07.2021;2.1;478.1
2680;1;173258;7;11.07.2021;5.3;243.3
2685;1;59166;7;11.07.2021;1.3;239.3
2687;1;56654;3;11.07.2021;7.5;109.5
2688;1;124338;84;11.07.2021;1.9;2857.9
2701;1;84504;3;11.07.2021;1.8;103.8
2704;1;811059;6;11.07.2021;12;216
2707;1;815468;3;11.07.2021;5;107
2712;1;145852;3;11.07.2021;18;120
2720;1;811138;3;11.07.2021;5.2;107.2
2721;1;307522;14;11.07.2021;0.009;476.009
2725;1;15792;28;11.07.2021;1.5;953.5
2728;1;167569;28;11.07.2021;1.2;953.2
2735;1;805212;6;11.07.2021;1.3;205.3
2736;1;191608;7;11.07.2021;15;253
2739;1;815483;14;11.07.2021;18;494
2740;1;124383;14;11.07.2021;9.4;485.4
2754;1;84501;6;11.07.2021;1.6;205.6
2756;1;153696;3;11.07.2021;7.4;109.4
2765;1;15659;7;11.07.2021;1.9;239.9
2766;1;124601;7;11.07.2021;6.7;244.7
2767;1;811188;3;11.07.2021;9.5;111.5
2769;1;811094;3;11.07.2021;9.6;111.6
2770;1;15644;28;11.07.2021;2;954
2774;1;124385;14;11.07.2021;7.9;483.9
2775;1;297505;3;11.07.2021;29;131
2780;1;56818;3;11.07.2021;2.3;104.3
2787;1;124543;42;11.07.2021;0.73;1428.73
2792;1;57006;3;11.07.2021;1.5;103.5
2793;1;159051;3;11.07.2021;1.2;103.2
2800;1;124340;6;11.07.2021;4.9;208.9
2803;1;124175;6;11.07.2021;3.9;207.9
2808;1;815456;3;11.07.2021;0.86;102.86
2811;1;300988;112;11.07.2021;0.0002;3808.0002
2813;1;124528;7;11.07.2021;15;253
2818;1;123953;6;11.07.2021;2.4;206.4
2826;1;245968;198;11.07.2021;0.6;6732.6
2831;1;297529;3;11.07.2021;5.4;107.4
2842;1;308501;168;11.07.2021;0.51;5712.51
2845;1;811098;3;11.07.2021;18;120
2863;1;124423;84;11.07.2021;0.53;2856.53
2868;1;176953;7;11.07.2021;13;251
2869;1;84591;6;11.07.2021;2.6;206.6
2876;1;124171;3;11.07.2021;2.9;104.9
2881;1;899699;344;11.07.2021;1.5;11697.5
2884;1;811132;3;11.07.2021;5.4;107.4
2899;1;306538;150;11.07.2021;1;5101
2900;1;282465;14;11.07.2021;7.9;483.9
2903;1;9327;7;11.07.2021;44;282
2932;1;297555;3;11.07.2021;0.083;102.083
2936;1;811135;3;11.07.2021;18;120
2943;1;124378;7;11.07.2021;7.6;245.6
2946;1;167260;14;11.07.2021;4.3;480.3
2955;1;124551;28;11.07.2021;0.058;952.058
2964;1;124337;12;11.07.2021;4.9;412.9
2971;1;84505;3;11.07.2021;0.88;102.88
2974;1;225404;3;11.07.2021;0.88;102.88
2976;1;811105;3;11.07.2021;6.1;108.1
2978;1;145853;14;11.07.2021;1.9;477.9
2995;1;15712;7;11.07.2021;19;257
3001;1;308275;118;11.07.2021;0.061;4012.061
3004;1;124382;14;11.07.2021;53;529
3006;1;815467;3;11.07.2021;4.8;106.8
3008;1;173261;7;11.07.2021;1.8;239.8
3015;1;811139;3;11.07.2021;24;126
3018;1;818494;6;11.07.2021;0.99;204.99
3028;1;124602;7;11.07.2021;4.8;242.8
3034;1;302277;12;11.07.2021;5.4;413.4
3039;1;124388;7;11.07.2021;2;240
3040;1;308034;72;11.07.2021;0.35;2448.35
3048;1;124542;42;11.07.2021;1.2;1429.2
3052;1;245965;7;11.07.2021;5.1;243.1
3054;1;124339;12;11.07.2021;1.6;409.6
3059;1;167511;7;11.07.2021;2;240
3078;1;57005;3;11.07.2021;7.5;109.5
3082;1;84596;3;11.07.2021;1.2;103.2
3087;1;297530;3;11.07.2021;5.4;107.4
3089;1;124598;7;11.07.2021;2.9;240.9
3093;1;15564;7;11.07.2021;2.9;240.9
3094;1;300677;1064;11.07.2021;0.015;36176.015
3105;1;124482;7;11.07.2021;4.3;242.3
3112;1;308286;35;11.07.2021;0.051;1190.051
3115;1;176952;7;11.07.2021;5.1;243.1
3119;1;295206;14;11.07.2021;1.5;477.5
3122;1;124170;3;11.07.2021;4;106
3131;1;124531;14;11.07.2021;7.7;483.7
3132;1;811054;6;11.07.2021;8.8;212.8
3134;1;254418;7;11.07.2021;3.6;241.6
3135;1;84592;6;11.07.2021;1.4;205.4
3143;1;815459;3;11.07.2021;0.083;102.083
3172;1;300782;56;11.07.2021;0.014;1904.014
3175;1;15546;7;11.07.2021;5.3;243.3
3176;1;141881;7;11.07.2021;7.2;245.2
3179;1;811102;6;11.07.2021;5.9;209.9
3180;1;124381;14;11.07.2021;16;492
3184;1;182134;14;11.07.2021;3.2;479.2
3188;1;124550;28;11.07.2021;4.9;956.9
3199;1;811057;6;11.07.2021;9.9;213.9
3201;1;282468;7;11.07.2021;13;251
3206;1;811136;3;11.07.2021;6.6;108.6
3207;1;177178;14;11.07.2021;4.4;480.4
3209;1;300032;20;11.07.2021;0.66;680.66
3216;1;124332;28;11.07.2021;2.4;954.4
3220;1;46246;3;11.07.2021;4.1;106.1
3221;1;145854;14;11.07.2021;2.1;478.1
3223;1;156125;7;11.07.2021;4;242
3224;1;297522;3;11.07.2021;13;115
3225;1;179254;7;11.07.2021;1;239
3233;1;181931;14;11.07.2021;3.2;479.2
3242;1;173260;7;11.07.2021;1.4;239.4
3254;1;282464;14;11.07.2021;3.1;479.1
3262;1;84506;12;11.07.2021;1.3;409.3
3270;1;124387;90;11.07.2021;1.8;3061.8
3287;1;15860;14;11.07.2021;2.1;478.1
3288;1;124263;3;11.07.2021;4.3;106.3
3290;1;300237;6;11.07.2021;0.072;204.072
3292;1;56681;3;11.07.2021;1.7;103.7
3296;1;182190;3;11.07.2021;7.9;109.9
3298;1;295984;14;11.07.2021;20;496
3300;1;124526;28;11.07.2021;2.1;954.1
3301;1;124481;7;11.07.2021;15;253
3306;1;123955;24;11.07.2021;2.9;818.9
3311;1;84503;6;11.07.2021;1.7;205.7
3315;1;242804;14;11.07.2021;1.1;477.1
3320;1;124599;7;11.07.2021;4;242
3322;1;15661;14;11.07.2021;3.8;479.8
3325;1;811096;3;11.07.2021;11;113
3328;1;167510;14;11.07.2021;2.6;478.6
3338;1;815458;6;11.07.2021;11;215
3345;1;84589;3;11.07.2021;2.9;104.9
3359;1;811130;6;11.07.2021;5.4;209.4
3360;1;124659;14;11.07.2021;1.4;477.4
3364;1;2613;14;11.07.2021;4.2;480.2
3368;1;124530;7;11.07.2021;2.5;240.5
3372;1;84499;6;11.07.2021;1.9;205.9
3381;1;123951;72;11.07.2021;3.5;2451.5
3394;1;297527;6;11.07.2021;5.4;209.4
3395;1;46063;14;11.07.2021;0.84;476.84
3401;1;254419;28;11.07.2021;1.4;953.4
3403;1;15642;28;11.07.2021;3.7;955.7
3408;1;167551;3;11.07.2021;7.8;109.8
3411;1;811133;3;11.07.2021;5.4;107.4
